vin,adc
0.039062,0.078125
0.078125,0.15625
0.15625,0.234375
0.234375,0.3125
0.3125,0.390625
0.390625,0.46875
0.46875,0.546875
0.546875,0.625
0.625,0.703125
0.703125,0.78125
0.78125,0.859375
0.859375,0.9375
0.9375,1.015625
1.015625,1.09375
1.09375,1.171875
1.171875,1.25
1.25,1.328125
1.328125,1.40625
1.40625,1.484375
1.484375,1.5625
1.5625,1.640625
1.640625,1.71875
1.71875,1.875
1.796875,1.953125
1.875,2.03125
1.953125,2.109375
2.03125,2.1875
2.109375,2.265625
2.1875,2.34375
2.265625,2.421875
2.34375,2.5
2.421875,2.578125
2.5,2.65625
2.578125,2.734375
2.65625,2.8125
2.734375,2.890625
2.8125,2.96875
2.890625,3.046875
2.96875,3.125
3.046875,3.203125
3.125,3.28125
3.203125,3.359375
3.28125,3.4375
3.359375,3.515625
3.4375,3.59375
3.515625,3.671875
3.59375,3.75
3.671875,3.828125
3.75,3.90625
3.828125,4.0625
3.90625,4.0625
3.984375,4.21875
4.0625,4.296875
4.140625,4.375
4.21875,4.453125
4.296875,4.53125
4.375,4.609375
4.453125,4.6875
4.53125,4.765625
4.609375,4.84375
4.6875,4.921875
4.765625,5.0
4.84375,5.0
4.921875,5.0
